debugT1AKY5:debugGQ9C3Z,initialized,0,,1604081036355
debugT1AKY5:debugGQ9C3Z,window_resize,0,"[1024, 768]",1604081036355
debugT1AKY5:debugGQ9C3Z,focus,83,on,1604081036438
debugT1AKY5:debugGQ9C3Z,focus,36559,off,1604081072997
debugT1AKY5:debugGQ9C3Z,focus,70,on,1604081073067
debugMMK0TX:debugHDQLWS,initialized,0,,1604082129045
debugMMK0TX:debugHDQLWS,window_resize,0,"[1024, 768]",1604082129045
debugMMK0TX:debugHDQLWS,focus,78,on,1604082129123
debugHCJX3X:debugJIM4FX,initialized,0,,1604084060963
debugHCJX3X:debugJIM4FX,window_resize,0,"[1024, 768]",1604084060963
debugHCJX3X:debugJIM4FX,focus,80,on,1604084061043
debugHCJX3X:debugJIM4FX,focus,78963,off,1604084140006
debugHCJX3X:debugJIM4FX,focus,104806,on,1604084244812
debugA2F13O:debugVDR8MU,initialized,0,,1604084402959
debugA2F13O:debugVDR8MU,window_resize,0,"[1024, 768]",1604084402959
debugA2F13O:debugVDR8MU,focus,28,on,1604084402987
debugP0H1RZ:debugJP9MAT,initialized,0,,1604084733576
debugP0H1RZ:debugJP9MAT,window_resize,0,"[1024, 768]",1604084733576
debugP0H1RZ:debugJP9MAT,focus,70,on,1604084733646
debug7CWAZ3:debugVSR0I2,initialized,0,,1604085177537
debug7CWAZ3:debugVSR0I2,window_resize,0,"[1024, 768]",1604085177537
debug7CWAZ3:debugVSR0I2,focus,86,on,1604085177623
debug7CWAZ3:debugVSR0I2,focus,2398,off,1604085180021
debug7CWAZ3:debugVSR0I2,focus,407,on,1604085180428
debug7CWAZ3:debugVSR0I2,window_resize,179,"[1920, 968]",1604085180607
debug7CWAZ3:debugVSR0I2,focus,44607,off,1604085225214
debug7CWAZ3:debugVSR0I2,focus,58,on,1604085225272
debug7CWAZ3:debugVSR0I2,focus,102,off,1604085225374
debug7CWAZ3:debugVSR0I2,focus,87,on,1604085225461
debug7CWAZ3:debugVSR0I2,focus,104,off,1604085225565
debug7CWAZ3:debugVSR0I2,focus,87,on,1604085225652
debug7CWAZ3:debugVSR0I2,focus,193411,off,1604085419063
debug7CWAZ3:debugVSR0I2,focus,17577,on,1604085436640
debug7CWAZ3:debugVSR0I2,focus,48280,off,1604085484920
debug7CWAZ3:debugVSR0I2,focus,6872,on,1604085491792
debug7CWAZ3:debugVSR0I2,focus,137203,off,1604085628995
debug7CWAZ3:debugVSR0I2,focus,14668,on,1604085643663
debugNHQFXL:debugDHC8F3,initialized,0,,1604086509276
debugNHQFXL:debugDHC8F3,window_resize,0,"[1024, 768]",1604086509276
debugNHQFXL:debugDHC8F3,focus,82,on,1604086509358
debugP9S9XT:debugCOH84A,initialized,0,,1604086986337
debugP9S9XT:debugCOH84A,window_resize,0,"[1024, 768]",1604086986337
debugP9S9XT:debugCOH84A,focus,71,on,1604086986408
